Name,ID,Zip,County,Address,Latitude,Longitude
#split S-P-12006 Steel door frame,ec3ns2ax,,,India,22.351993560791016,79.36287689208984
S-P-12001 Average Black/Bare Steel Pipes,ec3axmef,,,India,22.351993560791016,79.36287689208984
S-P-12005 Cold Rolled Steel Strips,ec3ef4zc,,,India,22.351993560791016,79.36287689208984
PosMAC®,ec3ds9j8,,,,,
"S-P-09819 Construction Product (Roofing Underlayment, Building Wrap & Flashing Tape)",ec3cp4w3,,,"Santej - Vadsar Rd, Santej, Gujarat, India",23.1099331,72.4692942
S-P-09813 Stainless Steel Cast & Rolled Products,ec3ghswh,,,"Sarkhej-Bavla Rd, Ahmedabad, Gujarat, India",22.9572643,72.4717996
S-P-11894 STEELAGE MAGNA CLASS C SAFE,ec3nud1g,,,"G.I.D.C. Industrial Estate, Godhra, Gujarat, India",22.7938374,73.6138821
"S-P-09805 Average Reinforcement Steel Bars, Round Bar, Wire Rod & RSC Steel Product",ec37emyd,,,India,22.351993560791016,79.36287689208984
S-P-09804 Average Semi-Finished Steel Product,ec3h31nb,,,India,22.351993560791016,79.36287689208984
3 mm PARSOL,ec3ed6u4,,,,,
Portland Slag Cement,ec3k5q1n,,,,,
3 mm REFLECTASOL on PLANILUX,ec321k9m,,,,,
2 mm PLANILUX,ec3fqbef,,,,,
SGG PLANILUX 2 mm Magnetron Coated Glass,ec3nh4ng,,,,,
M5 Grade,ec3r3awu,,,,,
12.5 mm Gypboard® Plain,ec370jnd,,Bangalore Urban,"Bengaluru, Karnataka, India",12.9715987,77.5945627
S-P-09811 Magnetron coated glass on SGG PARSOL 6 mm,ec3rmp3d,,,"Chennai, Tamil Nadu, India",13.0826802,80.2707184
S-P-09810 Magnetron coated glass On SGG PARSOL 4 mm,ec3rdguw,,,"Chennai, Tamil Nadu, India",13.0826802,80.2707184
S-P-09221 Compacts (Thick High Pressure Laminates-2.0mm and above),ec374t2y,110037,Delhi Division,"H42C+6GH, Aerocity, Indira Gandhi International Airport, New Delhi, Delhi 110037, India",28.5505625,77.1213594
S-P-09219 High Pressure Laminates,ec3a2zcu,160019,,"14, 7c, Madhya Marg, Sector 7-C, Sector 7, Chandigarh, 160019, India",30.728231,76.8022244
S-P-09223 SGG PARSOL® 6 mm,ec3jfy87,,,"Chennai, Tamil Nadu, India",13.0826802,80.2707184
"S-P-09209 Aluminum wound, Mineral oil filled Transformer – 8493C",ec3fwdpd,502329,,"Rudraram, Telangana 502329, India",17.5615117,78.1661883
S-P-06491 PRIMARY ALUMINIUM,ec3rgxrh,768202,Northern Division,"R25G+XM4, Brundamal, Odisha, India",21.8098875,84.02670309999999
S-P-06476 Clay Products,ec3e7wfx,,Varanasi Division,"Varanasi, Uttar Pradesh, India",25.3176452,82.9739144
S-P-06471 1 m3 of Ready-Mix Concrete,ec3xf15x,400051,Mumbai Suburban,"Bandra Kurla Complex Rd, Mumbai, Maharashtra, India",19.0622678,72.8595296
"S-P-06470 Aluminum wound, Mineral oil filled Transformer – 8178 E",ec3fegd4,502329,,"Rudraram, Telangana 502329, India",17.5615117,78.1661883
S-P-06076 ERW Offline Annealing Steel Pipes,ec37jezc,370140,,"78VX+JXV, Ramwadi, Bhachau, Gujarat 370140, India",23.2941125,70.3499219
S-P-06080 ERW Galvanized Steel Pipes,ec3z6kpz,370140,,"78VX+JXV, Ramwadi, Bhachau, Gujarat 370140, India",23.2941125,70.3499219
S-P-06081 ERW Epoxy Coated Steel Pipes,ec3kjfby,370140,,"78VX+JXV, Ramwadi, Bhachau, Gujarat 370140, India",23.2941125,70.3499219
S-P-06082 ERW Bare Steel Pipes,ec3kt883,370140,,"78VX+JXV, Ramwadi, Bhachau, Gujarat 370140, India",23.2941125,70.3499219
Carpet Tile,ec3b98c5,501503,Rangareddy,"Chevella Hyderabad Road, Chevella, Telangana, 501503",17.30545,78.14629
Stone Plastic Composite (SPC) Vinyl Tile,ec3jzxtz,501503,Rangareddy,"Chevella Hyderabad Road, Chevella, Telangana, 501503",17.30545,78.14629
Artificial Grass,ec3eh97h,501503,Rangareddy,"Chevella Hyderabad Road, Chevella, Telangana, 501503",17.30545,78.14629
Wall to wall carpet,ec3pk6u4,501503,Rangareddy,"Chevella Hyderabad Road, Chevella, Telangana, 501503",17.30545,78.14629
Armaflex®Class 0,ec39hsst,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Sika® CoolRoof PUD,ec3mq8h4,,,,,
Sika® CoolRoof CET/ Sikalastic®-560 1 mm,ec3h0dqj,,,,,
Sikafill®-400,ec3heahz,,,,,
Sika® CoolRoof i-Cure/ SikaRoof® i-Cure,ec391mjh,,,,,
Colorline Acoustic Products,ec35nnwt,,Valsad,"Valsad, Gujarat, India",20.5992349,72.9342451
3.5 mm thickness Float Glass,ec3u36g8,,,,,
4 mm thickness Float Glass,ec30khkj,,,,,
5 mm thickness Float Glass,ec354unr,,,,,
6 mm thickness Float Glass,ec336f0w,,,,,
8 mm thickness Float Glass,ec3y0wfj,,,,,
12 mm thickness Float Glass,ec39ruke,,,,,
SGG PLANILUX 3 mm Magnetron Coated Glass,ec33rdzz,,,,,
SGG PLANILUX 3.5 mm Magnetron Coated Glass,ec3sea8u,,,,,
SGG PLANILUX 4 mm Magnetron Coated Glass,ec3mbwex,,,,,
SGG PLANILUX 5 mm Magnetron Coated Glass,ec3t8jxh,,,,,
SGG PLANILUX 6 mm Magnetron Coated Glass,ec3a04s4,,,,,
SGG PLANILUX 8 mm Magnetron Coated Glass,ec32c734,,,,,
SGG PLANILUX 10 mm Magnetron Coated Glass,ec3yeytw,,,,,
SGG PLANILUX 12 mm Magnetron Coated Glass,ec3fhwbf,,,,,
SGG PARSOL 3 mm Magnetron Coated Glass,ec3sjd5h,,,,,
SGG PARSOL 3.5 mm Magnetron Coated Glass,ec3n5kbu,,,,,
SGG PARSOL 4 mm Magnetron Coated Glass,ec3z4bjj,,,,,
SGG PARSOL 5 mm Magnetron Coated Glass,ec37q6s3,,,,,
SGG PARSOL 6 mm Magnetron Coated Glass,ec3y12rz,,,,,
SGG PARSOL 8 mm Magnetron Coated Glass,ec3cr94j,,,,,
soft coated laminated glass of thickness 6 mm,ec3brgc9,,,,,
soft coated glazed glass of thickness 6 mm,ec3uhphd,,,,,
soft coated printed glass thickness 6 mm,ec3ht2dz,,,,,
thickness 3 mm hard coated reflective glass,ec3erkkr,,,,,
thickness 4 mm hard coated reflective glass,ec3ztpap,,,,,
thickness 5 mm hard coated reflective glass,ec31up1j,,,,,
thickness 6 mm hard coated reflective glass,ec3nbdt9,,,,,
thickness 8 mm hard coated reflective glass,ec346pe2,,,,,
thickness 10 mm hard coated reflective glass,ec32kuar,,,,,
thickness 12 mm hard coated reflective glass,ec3pq4fn,,,,,
thickness 3 mm soft coated reflective glass,ec37k1d4,,,,,
thickness 3.5 mm soft coated reflective glass,ec35wf63,,,,,
thickness 4 mm soft coated reflective glass,ec39q3fj,,,,,
thickness 5 mm soft coated reflective glass,ec3g406g,,,,,
thickness 6 mm soft coated reflective glass,ec37hrug,,,,,
thickness 8 mm soft coated reflective glass,ec3afc5b,,,,,
thickness 10 mm soft coated reflective glass,ec35uhuw,,,,,
thickness 12 mm soft coated reflective glass,ec3hz5e6,,,,,
3.5 mm PARSOL,ec3gjcry,,,,,
4 mm PARSOL,ec3j7ycw,,,,,
5 mm PARSOL,ec3sfmpb,,,,,
6 mm PARSOL,ec3qfmfa,,,,,
8 mm PARSOL,ec3burec,,,,,
10 mm PARSOL,ec38z5d3,,,,,
12 mm PARSOL,ec34cn41,,,,,
Berger ETICS with EPS board 50 mm,ec38yh2q,,,,,
Berger Paints (Water-Based),ec3e6yyn,,,,,
3 mm PLANILUX,ec3ns8hn,,,,,
3.5 mm PLANILUX,ec3bmejc,,,,,
4 mm PLANILUX,ec3pdqxw,,,,,
5 mm PLANILUX,ec3816xc,,,,,
6 mm PLANILUX,ec3gkzyu,,,,,
8 mm PLANILUX,ec35nqk0,,,,,
10 mm PLANILUX,ec3ww9sr,,,,,
12 mm PLANILUX,ec3ffyaa,,,,,
3.5 mm REFLECTASOL on PLANILUX,ec3bbdg1,,,,,
4 mm REFLECTASOL on PLANILUX,ec32210h,,,,,
5 mm REFLECTASOL on PLANILUX,ec3af5zq,,,,,
6 mm REFLECTASOL on PLANILUX,ec3qr803,,,,,
8 mm REFLECTASOL on PLANILUX,ec387rjx,,,,,
10 mm REFLECTASOL on PLANILUX,ec3det67,,,,,
12 mm REFLECTASOL on PLANILUX,ec3cu9aa,,,,,
3 mm REFLECTASOL on PARSOL,ec3tk6gx,,,,,
3.5 mm REFLECTASOL on PARSOL,ec3butdh,,,,,
4 mm REFLECTASOL on PARSOL,ec36m2xt,,,,,
5 mm REFLECTASOL on PARSOL,ec3a74eh,,,,,
6 mm REFLECTASOL on PARSOL,ec392ntc,,,,,
8 mm REFLECTASOL on PARSOL,ec3uz7gd,,,,,
Armaflex®Class 1,ec3df2z3,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Armaflex® DS,ec3u1d74,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Armaflex Endura®,ec3rpdms,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Armaflex® AMP,ec31wth4,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Armaflex® Class 0 Plus,ec3mgfeb,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Armaflex® FRV,ec3qebyh,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Armaflex® C1G,ec3awe4x,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Steel-Hot Rolled Coil,ec382f2n,,Ballari,"Ballari, KA, India",15.157434463500977,76.88925170898438
M15 Grade,ec3j6zjy,,,,,
M20 Grade,ec3g4d6s,,,,,
M25 Grade,ec3pu2kq,,,,,
M30 Grade,ec3fmtbs,,,,,
M35 Grade,ec30nzkk,,,,,
M40 Grade,ec3dn5an,,,,,
